IDCODE,EXPERIMENT TYPE
1AHE,X-RAY DIFFRACTION
1AHF,X-RAY DIFFRACTION
1AHG,X-RAY DIFFRACTION
1AHH,X-RAY DIFFRACTION
1AHI,X-RAY DIFFRACTION
1AHJ,X-RAY DIFFRACTION
1AHK,SOLUTION NMR
1AHL,SOLUTION NMR
1AHM,SOLUTION NMR
1AHN,X-RAY DIFFRACTION
1AHO,X-RAY DIFFRACTION
1AHP,X-RAY DIFFRACTION
1AHQ,X-RAY DIFFRACTION
1AHR,X-RAY DIFFRACTION
1AHS,X-RAY DIFFRACTION
1AHT,X-RAY DIFFRACTION
1AHU,X-RAY DIFFRACTION
1AHV,X-RAY DIFFRACTION
1AHW,X-RAY DIFFRACTION
1AHX,X-RAY DIFFRACTION
1AHY,X-RAY DIFFRACTION
1AHZ,X-RAY DIFFRACTION
1AI0,SOLUTION NMR
1AI1,X-RAY DIFFRACTION
1AI2,X-RAY DIFFRACTION
1AI3,X-RAY DIFFRACTION
1AI4,X-RAY DIFFRACTION
1AI5,X-RAY DIFFRACTION
1AI6,X-RAY DIFFRACTION
1AI7,X-RAY DIFFRACTION
1AI8,X-RAY DIFFRACTION
1AI9,X-RAY DIFFRACTION
1AIA,X-RAY DIFFRACTION
1AIB,X-RAY DIFFRACTION
1AIC,X-RAY DIFFRACTION
1AID,X-RAY DIFFRACTION
1AIE,X-RAY DIFFRACTION
1AIF,X-RAY DIFFRACTION
1AIG,X-RAY DIFFRACTION
1AIH,X-RAY DIFFRACTION
1AII,X-RAY DIFFRACTION
1AIJ,X-RAY DIFFRACTION
1AIK,X-RAY DIFFRACTION
1AIL,X-RAY DIFFRACTION
1AIM,X-RAY DIFFRACTION
1AIN,X-RAY DIFFRACTION
1AIO,X-RAY DIFFRACTION
1AIP,X-RAY DIFFRACTION
1AIQ,X-RAY DIFFRACTION
1AIR,X-RAY DIFFRACTION
1AIS,X-RAY DIFFRACTION
1AIU,X-RAY DIFFRACTION
1AIV,X-RAY DIFFRACTION
1AIW,SOLUTION NMR
1AIX,X-RAY DIFFRACTION
1AIY,SOLUTION NMR
1AIZ,X-RAY DIFFRACTION
1AJ0,X-RAY DIFFRACTION
1AJ1,SOLUTION NMR
1AJ2,X-RAY DIFFRACTION
1AJ3,SOLUTION NMR
1AJ4,SOLUTION NMR
1AJ5,X-RAY DIFFRACTION
1AJ6,X-RAY DIFFRACTION
1AJ7,X-RAY DIFFRACTION
1AJ8,X-RAY DIFFRACTION
1AJ9,X-RAY DIFFRACTION
1AJA,X-RAY DIFFRACTION
1AJB,X-RAY DIFFRACTION
1AJC,X-RAY DIFFRACTION
1AJD,X-RAY DIFFRACTION
1AJE,SOLUTION NMR
1AJF,SOLUTION NMR
1AJG,X-RAY DIFFRACTION
1AJH,X-RAY DIFFRACTION
1AJJ,X-RAY DIFFRACTION
1AJK,X-RAY DIFFRACTION
1AJL,SOLUTION NMR
1AJM,X-RAY DIFFRACTION
1AJN,X-RAY DIFFRACTION
1AJO,X-RAY DIFFRACTION
1AJP,X-RAY DIFFRACTION
1AJQ,X-RAY DIFFRACTION
1AJR,X-RAY DIFFRACTION
1AJS,X-RAY DIFFRACTION
1AJT,SOLUTION NMR
1AJU,SOLUTION NMR
1AJV,X-RAY DIFFRACTION
1AJW,SOLUTION NMR
1AJX,X-RAY DIFFRACTION
1AJY,SOLUTION NMR
1AJZ,X-RAY DIFFRACTION
1AK0,X-RAY DIFFRACTION
1AK1,X-RAY DIFFRACTION
1AK2,X-RAY DIFFRACTION
1AK4,X-RAY DIFFRACTION
1AK5,X-RAY DIFFRACTION
1AK6,SOLUTION NMR
1AK7,SOLUTION NMR
1AK8,SOLUTION NMR
1AK9,X-RAY DIFFRACTION
1AKA,X-RAY DIFFRACTION
1AKB,X-RAY DIFFRACTION
1AKC,X-RAY DIFFRACTION
1AKD,X-RAY DIFFRACTION
1AKE,X-RAY DIFFRACTION
1AKG,X-RAY DIFFRACTION
1AKH,X-RAY DIFFRACTION
1AKI,X-RAY DIFFRACTION
1AKJ,X-RAY DIFFRACTION
1AKK,SOLUTION NMR
1AKL,X-RAY DIFFRACTION
1AKM,X-RAY DIFFRACTION
1AKN,X-RAY DIFFRACTION
1AKO,X-RAY DIFFRACTION
1AKP,SOLUTION NMR
1AKQ,X-RAY DIFFRACTION
1AKR,X-RAY DIFFRACTION
1AKS,X-RAY DIFFRACTION
1AKT,X-RAY DIFFRACTION
1AKU,X-RAY DIFFRACTION
1AKV,X-RAY DIFFRACTION
1AKW,X-RAY DIFFRACTION
1AKX,SOLUTION NMR
1AKY,X-RAY DIFFRACTION
1AKZ,X-RAY DIFFRACTION
1AL0,X-RAY DIFFRACTION
1AL1,X-RAY DIFFRACTION
1AL2,X-RAY DIFFRACTION
1AL3,X-RAY DIFFRACTION
1AL4,X-RAY DIFFRACTION
1AL5,SOLUTION NMR
1AL6,X-RAY DIFFRACTION
1AL7,X-RAY DIFFRACTION
1AL8,X-RAY DIFFRACTION
1AL9,SOLUTION NMR
1ALA,X-RAY DIFFRACTION
1ALB,X-RAY DIFFRACTION
1ALC,X-RAY DIFFRACTION
1ALD,X-RAY DIFFRACTION
1ALE,SOLUTION NMR
1ALF,SOLUTION NMR
1ALG,SOLUTION NMR
1ALH,X-RAY DIFFRACTION
1ALI,X-RAY DIFFRACTION
1ALJ,X-RAY DIFFRACTION
1ALK,X-RAY DIFFRACTION
1ALL,X-RAY DIFFRACTION
1ALN,X-RAY DIFFRACTION
1ALQ,X-RAY DIFFRACTION
1ALU,X-RAY DIFFRACTION
1ALV,X-RAY DIFFRACTION
1ALW,X-RAY DIFFRACTION
1ALX,X-RAY DIFFRACTION
1ALY,X-RAY DIFFRACTION
1ALZ,X-RAY DIFFRACTION
1AM0,SOLUTION NMR
1AM1,X-RAY DIFFRACTION
1AM2,X-RAY DIFFRACTION
1AM4,X-RAY DIFFRACTION
1AM5,X-RAY DIFFRACTION
1AM6,X-RAY DIFFRACTION
1AM7,X-RAY DIFFRACTION
1AM9,X-RAY DIFFRACTION
1AMA,X-RAY DIFFRACTION
1AMB,SOLUTION NMR
1AMC,SOLUTION NMR
1AMD,SOLUTION NMR
1AME,X-RAY DIFFRACTION
1AMF,X-RAY DIFFRACTION
1AMH,X-RAY DIFFRACTION
1AMI,X-RAY DIFFRACTION
1AMJ,X-RAY DIFFRACTION
1AMK,X-RAY DIFFRACTION
1AML,SOLUTION NMR
1AMM,X-RAY DIFFRACTION
1AMN,X-RAY DIFFRACTION
1AMO,X-RAY DIFFRACTION
1AMP,X-RAY DIFFRACTION
1AMQ,X-RAY DIFFRACTION
1AMR,X-RAY DIFFRACTION
1AMS,X-RAY DIFFRACTION
1AMT,X-RAY DIFFRACTION
1AMU,X-RAY DIFFRACTION
1AMW,X-RAY DIFFRACTION
1AMX,X-RAY DIFFRACTION
1AMY,X-RAY DIFFRACTION
1AMZ,X-RAY DIFFRACTION
1AN0,X-RAY DIFFRACTION
1AN1,X-RAY DIFFRACTION
1AN2,X-RAY DIFFRACTION
1AN4,X-RAY DIFFRACTION
1AN5,X-RAY DIFFRACTION
1AN7,X-RAY DIFFRACTION
1AN8,X-RAY DIFFRACTION
1AN9,X-RAY DIFFRACTION
1ANA,X-RAY DIFFRACTION
1ANB,X-RAY DIFFRACTION
1ANC,X-RAY DIFFRACTION
1AND,X-RAY DIFFRACTION
1ANE,X-RAY DIFFRACTION
1ANF,X-RAY DIFFRACTION
1ANG,X-RAY DIFFRACTION
1ANI,X-RAY DIFFRACTION
1ANJ,X-RAY DIFFRACTION
1ANK,X-RAY DIFFRACTION
1ANN,X-RAY DIFFRACTION
1ANP,SOLUTION NMR
1ANR,SOLUTION NMR
1ANS,SOLUTION NMR
1ANT,X-RAY DIFFRACTION
1ANU,X-RAY DIFFRACTION
1ANV,X-RAY DIFFRACTION
1ANW,X-RAY DIFFRACTION
1ANX,X-RAY DIFFRACTION
1AO0,X-RAY DIFFRACTION
1AO1,SOLUTION NMR
1AO2,SOLUTION NMR
1AO3,X-RAY DIFFRACTION
1AO4,SOLUTION NMR
1AO5,X-RAY DIFFRACTION
1AO6,X-RAY DIFFRACTION
1AO7,X-RAY DIFFRACTION
1AO8,SOLUTION NMR
1AO9,SOLUTION NMR
1AOA,X-RAY DIFFRACTION
1AOB,X-RAY DIFFRACTION
1AOC,X-RAY DIFFRACTION
1AOD,X-RAY DIFFRACTION
1AOE,X-RAY DIFFRACTION
1AOF,X-RAY DIFFRACTION
1AOG,X-RAY DIFFRACTION
1AOH,X-RAY DIFFRACTION
1AOI,X-RAY DIFFRACTION
1AOJ,X-RAY DIFFRACTION
1AOK,X-RAY DIFFRACTION
1AOL,X-RAY DIFFRACTION
1AOM,X-RAY DIFFRACTION
1AON,X-RAY DIFFRACTION
1AOO,SOLUTION NMR
1AOP,X-RAY DIFFRACTION
1AOQ,X-RAY DIFFRACTION
1AOR,X-RAY DIFFRACTION
1AOS,X-RAY DIFFRACTION
1AOT,SOLUTION NMR
1AOU,SOLUTION NMR
1AOV,X-RAY DIFFRACTION
1AOW,X-RAY DIFFRACTION
1AOX,X-RAY DIFFRACTION
1AOY,SOLUTION NMR
1AOZ,X-RAY DIFFRACTION
1AP0,SOLUTION NMR
1AP1,SOLUTION NMR
1AP2,X-RAY DIFFRACTION
1AP4,SOLUTION NMR
1AP5,X-RAY DIFFRACTION
1AP6,X-RAY DIFFRACTION
1AP7,SOLUTION NMR
1AP8,SOLUTION NMR
1AP9,X-RAY DIFFRACTION
1APA,X-RAY DIFFRACTION
1APB,X-RAY DIFFRACTION
1APC,SOLUTION NMR
1APF,SOLUTION NMR
1APH,X-RAY DIFFRACTION
1APJ,SOLUTION NMR
1APL,X-RAY DIFFRACTION
1APM,X-RAY DIFFRACTION
1APN,X-RAY DIFFRACTION
1APO,SOLUTION NMR
1APQ,SOLUTION NMR
1APS,SOLUTION NMR
1APT,X-RAY DIFFRACTION
1APU,X-RAY DIFFRACTION
1APV,X-RAY DIFFRACTION
1APW,X-RAY DIFFRACTION
1APX,X-RAY DIFFRACTION
1APY,X-RAY DIFFRACTION
1APZ,X-RAY DIFFRACTION
1AQ0,X-RAY DIFFRACTION
1AQ1,X-RAY DIFFRACTION
1AQ2,X-RAY DIFFRACTION
1AQ3,X-RAY DIFFRACTION
1AQ4,X-RAY DIFFRACTION
1AQ5,SOLUTION NMR
1AQ6,X-RAY DIFFRACTION
1AQ7,X-RAY DIFFRACTION
1AQ8,X-RAY DIFFRACTION
1AQA,SOLUTION NMR
1AQB,X-RAY DIFFRACTION
1AQC,X-RAY DIFFRACTION
1AQD,X-RAY DIFFRACTION
1AQE,X-RAY DIFFRACTION
1AQF,X-RAY DIFFRACTION
1AQG,SOLUTION NMR
1AQH,X-RAY DIFFRACTION
1AQI,X-RAY DIFFRACTION
1AQJ,X-RAY DIFFRACTION
1AQK,X-RAY DIFFRACTION
1AQL,X-RAY DIFFRACTION
1AQM,X-RAY DIFFRACTION
1AQN,X-RAY DIFFRACTION
1AQO,SOLUTION NMR
1AQP,X-RAY DIFFRACTION
1AQQ,SOLUTION NMR
1AQR,SOLUTION NMR
1AQS,SOLUTION NMR
1AQT,X-RAY DIFFRACTION
1AQU,X-RAY DIFFRACTION
1AQV,X-RAY DIFFRACTION
1AQW,X-RAY DIFFRACTION
1AQX,X-RAY DIFFRACTION
1AQY,X-RAY DIFFRACTION
1AQZ,X-RAY DIFFRACTION
1AR0,X-RAY DIFFRACTION
1AR1,X-RAY DIFFRACTION
1AR2,X-RAY DIFFRACTION
1AR4,X-RAY DIFFRACTION
1AR5,X-RAY DIFFRACTION
1AR6,X-RAY DIFFRACTION
1AR7,X-RAY DIFFRACTION
1AR8,X-RAY DIFFRACTION
1AR9,X-RAY DIFFRACTION
1ARB,X-RAY DIFFRACTION
1ARC,X-RAY DIFFRACTION
1ARD,SOLUTION NMR
1ARE,SOLUTION NMR
1ARF,SOLUTION NMR
1ARG,X-RAY DIFFRACTION
1ARH,X-RAY DIFFRACTION
1ARI,X-RAY DIFFRACTION
1ARJ,SOLUTION NMR
1ARK,SOLUTION NMR
1ARL,X-RAY DIFFRACTION
1ARM,X-RAY DIFFRACTION
1ARO,X-RAY DIFFRACTION
1ARP,X-RAY DIFFRACTION
1ARQ,SOLUTION NMR
1ARR,SOLUTION NMR
1ARS,X-RAY DIFFRACTION
1ART,X-RAY DIFFRACTION
1ARU,X-RAY DIFFRACTION
1ARV,X-RAY DIFFRACTION
1ARW,X-RAY DIFFRACTION
1ARX,X-RAY DIFFRACTION
1ARY,X-RAY DIFFRACTION
1ARZ,X-RAY DIFFRACTION
1AS0,X-RAY DIFFRACTION
1AS2,X-RAY DIFFRACTION
1AS3,X-RAY DIFFRACTION
1AS4,X-RAY DIFFRACTION
1AS5,SOLUTION NMR
1AS6,X-RAY DIFFRACTION
1AS7,X-RAY DIFFRACTION
1AS8,X-RAY DIFFRACTION
1ASA,X-RAY DIFFRACTION
1ASB,X-RAY DIFFRACTION
1ASC,X-RAY DIFFRACTION
1ASD,X-RAY DIFFRACTION
1ASE,X-RAY DIFFRACTION
1ASF,X-RAY DIFFRACTION
1ASG,X-RAY DIFFRACTION
1ASH,X-RAY DIFFRACTION
1ASJ,X-RAY DIFFRACTION
1ASK,X-RAY DIFFRACTION
1ASL,X-RAY DIFFRACTION
1ASM,X-RAY DIFFRACTION
1ASN,X-RAY DIFFRACTION
1ASO,X-RAY DIFFRACTION
1ASP,X-RAY DIFFRACTION
1ASQ,X-RAY DIFFRACTION
1ASS,X-RAY DIFFRACTION
1AST,X-RAY DIFFRACTION
1ASU,X-RAY DIFFRACTION
1ASV,X-RAY DIFFRACTION
1ASW,X-RAY DIFFRACTION
1ASX,X-RAY DIFFRACTION
1ASY,X-RAY DIFFRACTION
1ASZ,X-RAY DIFFRACTION
1AT0,X-RAY DIFFRACTION
1AT1,X-RAY DIFFRACTION
1AT3,X-RAY DIFFRACTION
1AT4,SOLUTION NMR
1AT5,X-RAY DIFFRACTION
1AT6,X-RAY DIFFRACTION
1AT9,ELECTRON CRYSTALLOGRAPHY
1ATA,SOLUTION NMR
1ATB,SOLUTION NMR
1ATD,SOLUTION NMR
1ATE,SOLUTION NMR
1ATG,X-RAY DIFFRACTION
1ATH,X-RAY DIFFRACTION
1ATI,X-RAY DIFFRACTION
1ATJ,X-RAY DIFFRACTION
1ATK,X-RAY DIFFRACTION
1ATL,X-RAY DIFFRACTION
1ATN,X-RAY DIFFRACTION
1ATO,SOLUTION NMR
1ATP,X-RAY DIFFRACTION
1ATR,X-RAY DIFFRACTION
1ATS,X-RAY DIFFRACTION
1ATT,X-RAY DIFFRACTION
1ATU,X-RAY DIFFRACTION
1ATV,SOLUTION NMR
1ATW,SOLUTION NMR
1ATX,SOLUTION NMR
1ATY,SOLUTION NMR
1ATZ,X-RAY DIFFRACTION
1AU0,X-RAY DIFFRACTION
1AU1,X-RAY DIFFRACTION
1AU2,X-RAY DIFFRACTION
1AU3,X-RAY DIFFRACTION
1AU4,X-RAY DIFFRACTION
1AU5,SOLUTION NMR
1AU6,SOLUTION NMR
1AU7,X-RAY DIFFRACTION
1AU8,X-RAY DIFFRACTION
1AU9,X-RAY DIFFRACTION
1AUA,X-RAY DIFFRACTION
1AUC,X-RAY DIFFRACTION
1AUD,SOLUTION NMR
1AUE,X-RAY DIFFRACTION
1AUG,X-RAY DIFFRACTION
1AUI,X-RAY DIFFRACTION
1AUJ,X-RAY DIFFRACTION
1AUK,X-RAY DIFFRACTION
1AUL,SOLUTION NMR
1AUM,X-RAY DIFFRACTION
1AUN,X-RAY DIFFRACTION
1AUO,X-RAY DIFFRACTION
1AUP,X-RAY DIFFRACTION
1AUQ,X-RAY DIFFRACTION
1AUR,X-RAY DIFFRACTION
1AUS,X-RAY DIFFRACTION
1AUT,X-RAY DIFFRACTION
1AUU,SOLUTION NMR
1AUV,X-RAY DIFFRACTION
1AUW,X-RAY DIFFRACTION
1AUX,X-RAY DIFFRACTION
1AUY,X-RAY DIFFRACTION
1AUZ,SOLUTION NMR
1AV1,X-RAY DIFFRACTION
1AV2,X-RAY DIFFRACTION
1AV3,SOLUTION NMR
1AV4,X-RAY DIFFRACTION
1AV5,X-RAY DIFFRACTION
1AV6,X-RAY DIFFRACTION
1AV7,X-RAY DIFFRACTION
1AV8,X-RAY DIFFRACTION
1AVA,X-RAY DIFFRACTION
1AVB,X-RAY DIFFRACTION
1AVC,X-RAY DIFFRACTION
1AVD,X-RAY DIFFRACTION
1AVE,X-RAY DIFFRACTION
1AVF,X-RAY DIFFRACTION
1AVG,X-RAY DIFFRACTION
1AVH,X-RAY DIFFRACTION
1AVK,X-RAY DIFFRACTION
1AVL,X-RAY DIFFRACTION
1AVM,X-RAY DIFFRACTION
1AVN,X-RAY DIFFRACTION
1AVO,X-RAY DIFFRACTION
1AVP,X-RAY DIFFRACTION
1AVQ,X-RAY DIFFRACTION
1AVR,X-RAY DIFFRACTION
1AVS,X-RAY DIFFRACTION
1AVT,X-RAY DIFFRACTION
1AVU,X-RAY DIFFRACTION
1AVV,X-RAY DIFFRACTION
1AVW,X-RAY DIFFRACTION
1AVX,X-RAY DIFFRACTION
1AVY,X-RAY DIFFRACTION
1AVZ,X-RAY DIFFRACTION
1AW0,SOLUTION NMR
1AW1,X-RAY DIFFRACTION
1AW2,X-RAY DIFFRACTION
1AW3,SOLUTION NMR
1AW4,SOLUTION NMR
1AW5,X-RAY DIFFRACTION
1AW6,SOLUTION NMR
1AW7,X-RAY DIFFRACTION
1AW8,X-RAY DIFFRACTION
1AW9,X-RAY DIFFRACTION
1AWB,X-RAY DIFFRACTION
1AWC,X-RAY DIFFRACTION
1AWD,X-RAY DIFFRACTION
1AWE,SOLUTION NMR
1AWF,X-RAY DIFFRACTION
1AWH,X-RAY DIFFRACTION
1AWI,X-RAY DIFFRACTION
1AWJ,SOLUTION NMR
1AWO,SOLUTION NMR
1AWP,X-RAY DIFFRACTION
1AWQ,X-RAY DIFFRACTION
1AWR,X-RAY DIFFRACTION
1AWS,X-RAY DIFFRACTION
1AWT,X-RAY DIFFRACTION
1AWU,X-RAY DIFFRACTION
1AWV,X-RAY DIFFRACTION
1AWW,SOLUTION NMR
1AWX,SOLUTION NMR
1AWY,SOLUTION NMR
1AWZ,SOLUTION NMR
1AX0,X-RAY DIFFRACTION
1AX1,X-RAY DIFFRACTION
1AX2,X-RAY DIFFRACTION
1AX3,SOLUTION NMR
1AX4,X-RAY DIFFRACTION
1AX6,SOLUTION NMR
1AX7,SOLUTION NMR
1AX8,X-RAY DIFFRACTION
1AX9,X-RAY DIFFRACTION
1AXA,X-RAY DIFFRACTION
1AXB,X-RAY DIFFRACTION
1AXC,X-RAY DIFFRACTION
1AXD,X-RAY DIFFRACTION
1AXE,X-RAY DIFFRACTION
1AXG,X-RAY DIFFRACTION
1AXH,SOLUTION NMR
1AXI,X-RAY DIFFRACTION
1AXJ,SOLUTION NMR
1AXK,X-RAY DIFFRACTION
1AXL,SOLUTION NMR
1AXM,X-RAY DIFFRACTION
1AXN,X-RAY DIFFRACTION
1AXO,SOLUTION NMR
1AXP,SOLUTION NMR
1AXQ,X-RAY DIFFRACTION
1AXR,X-RAY DIFFRACTION
1AXS,X-RAY DIFFRACTION
1AXT,X-RAY DIFFRACTION
1AXU,SOLUTION NMR
1AXV,SOLUTION NMR
1AXW,X-RAY DIFFRACTION
1AXX,SOLUTION NMR
1AXY,X-RAY DIFFRACTION
1AXZ,X-RAY DIFFRACTION
1AY0,X-RAY DIFFRACTION
1AY1,X-RAY DIFFRACTION
1AY2,X-RAY DIFFRACTION
1AY3,SOLUTION NMR
1AY4,X-RAY DIFFRACTION
1AY5,X-RAY DIFFRACTION
1AY6,X-RAY DIFFRACTION
1AY7,X-RAY DIFFRACTION
1AY8,X-RAY DIFFRACTION
1AY9,X-RAY DIFFRACTION
1AYA,X-RAY DIFFRACTION
1AYB,X-RAY DIFFRACTION
1AYC,X-RAY DIFFRACTION
1AYD,X-RAY DIFFRACTION
1AYE,X-RAY DIFFRACTION
1AYF,X-RAY DIFFRACTION
1AYG,SOLUTION NMR
1AYI,X-RAY DIFFRACTION
1AYJ,SOLUTION NMR
1AYK,SOLUTION NMR
1AYL,X-RAY DIFFRACTION
1AYM,X-RAY DIFFRACTION
1AYN,X-RAY DIFFRACTION
1AYO,X-RAY DIFFRACTION
1AYP,X-RAY DIFFRACTION
1AYR,X-RAY DIFFRACTION
1AYU,X-RAY DIFFRACTION
1AYV,X-RAY DIFFRACTION
1AYW,X-RAY DIFFRACTION
1AYX,X-RAY DIFFRACTION
1AYY,X-RAY DIFFRACTION
1AYZ,X-RAY DIFFRACTION
1AZ0,X-RAY DIFFRACTION
1AZ1,X-RAY DIFFRACTION
1AZ2,X-RAY DIFFRACTION
1AZ3,X-RAY DIFFRACTION
1AZ4,X-RAY DIFFRACTION
1AZ5,X-RAY DIFFRACTION
1AZ6,SOLUTION NMR
1AZ8,X-RAY DIFFRACTION
1AZB,X-RAY DIFFRACTION
1AZC,X-RAY DIFFRACTION
1AZD,X-RAY DIFFRACTION
1AZE,SOLUTION NMR
1AZF,X-RAY DIFFRACTION
1AZG,SOLUTION NMR
1AZH,SOLUTION NMR
1AZI,X-RAY DIFFRACTION
1AZJ,SOLUTION NMR
1AZK,SOLUTION NMR
1AZL,X-RAY DIFFRACTION
1AZM,X-RAY DIFFRACTION
1AZN,X-RAY DIFFRACTION
1AZO,X-RAY DIFFRACTION
1AZP,X-RAY DIFFRACTION
1AZQ,X-RAY DIFFRACTION
1AZR,X-RAY DIFFRACTION
1AZS,X-RAY DIFFRACTION
1AZT,X-RAY DIFFRACTION
1AZU,X-RAY DIFFRACTION
1AZV,X-RAY DIFFRACTION
1AZW,X-RAY DIFFRACTION
1AZX,X-RAY DIFFRACTION
1AZY,X-RAY DIFFRACTION
1AZZ,X-RAY DIFFRACTION
1B00,X-RAY DIFFRACTION
1B01,X-RAY DIFFRACTION
1B02,X-RAY DIFFRACTION
1B03,SOLUTION NMR
1B04,X-RAY DIFFRACTION
1B05,X-RAY DIFFRACTION
1B06,X-RAY DIFFRACTION
1B07,X-RAY DIFFRACTION
1B08,X-RAY DIFFRACTION
1B09,X-RAY DIFFRACTION
1B0A,X-RAY DIFFRACTION
1B0B,X-RAY DIFFRACTION
1B0C,X-RAY DIFFRACTION
1B0D,X-RAY DIFFRACTION
1B0E,X-RAY DIFFRACTION
1B0F,X-RAY DIFFRACTION
1B0G,X-RAY DIFFRACTION
1B0H,X-RAY DIFFRACTION
1B0I,X-RAY DIFFRACTION
1B0J,X-RAY DIFFRACTION
1B0K,X-RAY DIFFRACTION
1B0L,X-RAY DIFFRACTION
1B0M,X-RAY DIFFRACTION
1B0N,X-RAY DIFFRACTION
1B0O,X-RAY DIFFRACTION
1B0P,X-RAY DIFFRACTION
1B0Q,SOLUTION NMR
1B0R,X-RAY DIFFRACTION
1B0S,SOLUTION NMR
1B0T,X-RAY DIFFRACTION
1B0U,X-RAY DIFFRACTION
1B0V,X-RAY DIFFRACTION
1B0W,X-RAY DIFFRACTION
1B0X,X-RAY DIFFRACTION
1B0Y,X-RAY DIFFRACTION
1B0Z,X-RAY DIFFRACTION
1B10,SOLUTION NMR
1B11,X-RAY DIFFRACTION
1B12,X-RAY DIFFRACTION
1B13,X-RAY DIFFRACTION
1B14,X-RAY DIFFRACTION
1B15,X-RAY DIFFRACTION
1B16,X-RAY DIFFRACTION
1B17,X-RAY DIFFRACTION
1B18,X-RAY DIFFRACTION
1B19,X-RAY DIFFRACTION
1B1A,SOLUTION NMR
1B1B,X-RAY DIFFRACTION
1B1C,X-RAY DIFFRACTION
1B1E,X-RAY DIFFRACTION
1B1G,SOLUTION NMR
1B1H,X-RAY DIFFRACTION
1B1I,X-RAY DIFFRACTION
1B1J,X-RAY DIFFRACTION
1B1U,X-RAY DIFFRACTION
1B1V,SOLUTION NMR
1B1X,X-RAY DIFFRACTION
1B1Y,X-RAY DIFFRACTION
1B1Z,X-RAY DIFFRACTION
1B20,X-RAY DIFFRACTION
1B21,X-RAY DIFFRACTION
1B22,SOLUTION NMR
1B23,X-RAY DIFFRACTION
1B24,X-RAY DIFFRACTION
1B25,X-RAY DIFFRACTION
1B26,X-RAY DIFFRACTION
1B27,X-RAY DIFFRACTION
1B28,SOLUTION NMR
1B2A,X-RAY DIFFRACTION
1B2B,X-RAY DIFFRACTION
1B2C,X-RAY DIFFRACTION
1B2D,X-RAY DIFFRACTION
1B2E,X-RAY DIFFRACTION
1B2F,X-RAY DIFFRACTION
1B2G,X-RAY DIFFRACTION
1B2H,X-RAY DIFFRACTION
1B2I,SOLUTION NMR
1B2J,X-RAY DIFFRACTION
1B2K,X-RAY DIFFRACTION
1B2L,X-RAY DIFFRACTION
1B2M,X-RAY DIFFRACTION
1B2O,X-RAY DIFFRACTION
1B2P,X-RAY DIFFRACTION
1B2R,X-RAY DIFFRACTION
1B2S,X-RAY DIFFRACTION
1B2T,SOLUTION NMR
1B2U,X-RAY DIFFRACTION
1B2V,X-RAY DIFFRACTION
1B2W,X-RAY DIFFRACTION
1B2X,X-RAY DIFFRACTION
1B2Y,X-RAY DIFFRACTION
1B2Z,X-RAY DIFFRACTION
1B30,X-RAY DIFFRACTION
1B31,X-RAY DIFFRACTION
1B32,X-RAY DIFFRACTION
1B33,X-RAY DIFFRACTION
1B34,X-RAY DIFFRACTION
1B35,X-RAY DIFFRACTION
1B36,SOLUTION NMR
1B37,X-RAY DIFFRACTION
1B38,X-RAY DIFFRACTION
1B39,X-RAY DIFFRACTION
1B3A,X-RAY DIFFRACTION
1B3B,X-RAY DIFFRACTION
1B3C,SOLUTION NMR
1B3D,X-RAY DIFFRACTION
1B3E,X-RAY DIFFRACTION
1B3F,X-RAY DIFFRACTION
1B3G,X-RAY DIFFRACTION
1B3H,X-RAY DIFFRACTION
1B3I,SOLUTION NMR
1B3J,X-RAY DIFFRACTION
1B3K,X-RAY DIFFRACTION
1B3L,X-RAY DIFFRACTION
1B3N,X-RAY DIFFRACTION
1B3O,X-RAY DIFFRACTION
1B3P,SOLUTION NMR
1B3Q,X-RAY DIFFRACTION
1B3R,X-RAY DIFFRACTION
1B3S,X-RAY DIFFRACTION
1B3T,X-RAY DIFFRACTION
1B3U,X-RAY DIFFRACTION
1B3V,X-RAY DIFFRACTION
1B3W,X-RAY DIFFRACTION
1B3X,X-RAY DIFFRACTION
1B3Y,X-RAY DIFFRACTION
1B3Z,X-RAY DIFFRACTION
1B40,X-RAY DIFFRACTION
1B41,X-RAY DIFFRACTION
1B42,X-RAY DIFFRACTION
1B43,X-RAY DIFFRACTION
1B44,X-RAY DIFFRACTION
1B45,SOLUTION NMR
1B46,X-RAY DIFFRACTION
1B47,X-RAY DIFFRACTION
1B48,X-RAY DIFFRACTION
1B49,X-RAY DIFFRACTION
1B4A,X-RAY DIFFRACTION
1B4B,X-RAY DIFFRACTION
1B4C,SOLUTION NMR
1B4D,X-RAY DIFFRACTION
1B4E,X-RAY DIFFRACTION
1B4F,X-RAY DIFFRACTION
1B4G,SOLUTION NMR
1B4H,X-RAY DIFFRACTION
1B4I,SOLUTION NMR
1B4J,X-RAY DIFFRACTION
1B4K,X-RAY DIFFRACTION
1B4L,X-RAY DIFFRACTION
1B4M,SOLUTION NMR
1B4N,X-RAY DIFFRACTION
1B4O,SOLUTION NMR
1B4P,X-RAY DIFFRACTION
1B4Q,SOLUTION NMR
1B4R,SOLUTION NMR
1B4S,X-RAY DIFFRACTION
1B4T,X-RAY DIFFRACTION
1B4U,X-RAY DIFFRACTION
1B4V,X-RAY DIFFRACTION
1B4W,X-RAY DIFFRACTION
1B4X,X-RAY DIFFRACTION
1B4Y,SOLUTION NMR
